"date_id","river","year","month","day","value"
"2002_01_01","tisza",2002,1,1,126
"2002_02_01","tisza",2002,2,1,383
"2002_03_01","tisza",2002,3,1,491
"2002_04_01","tisza",2002,4,1,250
"2002_05_01","tisza",2002,5,1,221
"2002_06_01","tisza",2002,6,1,159
"2002_07_01","tisza",2002,7,1,100
"2002_08_01","tisza",2002,8,1,113
"2002_09_01","tisza",2002,9,1,108
"2002_10_01","tisza",2002,10,1,256
"2002_11_01","tisza",2002,11,1,335
"2002_12_01","tisza",2002,12,1,187
"2002_01_02","tisza",2002,1,2,165
"2002_02_02","tisza",2002,2,2,432
"2002_03_02","tisza",2002,3,2,485
"2002_04_02","tisza",2002,4,2,233
"2002_05_02","tisza",2002,5,2,219
"2002_06_02","tisza",2002,6,2,161
"2002_07_02","tisza",2002,7,2,106
"2002_08_02","tisza",2002,8,2,109
"2002_09_02","tisza",2002,9,2,103
"2002_10_02","tisza",2002,10,2,233
"2002_11_02","tisza",2002,11,2,341
"2002_12_02","tisza",2002,12,2,173
"2002_01_03","tisza",2002,1,3,210
"2002_02_03","tisza",2002,2,3,477
"2002_03_03","tisza",2002,3,3,478
"2002_04_03","tisza",2002,4,3,224
"2002_05_03","tisza",2002,5,3,223
"2002_06_03","tisza",2002,6,3,180
"2002_07_03","tisza",2002,7,3,108
"2002_08_03","tisza",2002,8,3,108
"2002_09_03","tisza",2002,9,3,96
"2002_10_03","tisza",2002,10,3,226
"2002_11_03","tisza",2002,11,3,345
"2002_12_03","tisza",2002,12,3,167
"2002_01_04","tisza",2002,1,4,250
"2002_02_04","tisza",2002,2,4,497
"2002_03_04","tisza",2002,3,4,470
"2002_04_04","tisza",2002,4,4,222
"2002_05_04","tisza",2002,5,4,220
"2002_06_04","tisza",2002,6,4,190
"2002_07_04","tisza",2002,7,4,115
"2002_08_04","tisza",2002,8,4,106
"2002_09_04","tisza",2002,9,4,96
"2002_10_04","tisza",2002,10,4,205
"2002_11_04","tisza",2002,11,4,342
"2002_12_04","tisza",2002,12,4,165
"2002_01_05","tisza",2002,1,5,278
"2002_02_05","tisza",2002,2,5,504
"2002_03_05","tisza",2002,3,5,478
"2002_04_05","tisza",2002,4,5,225
"2002_05_05","tisza",2002,5,5,218
"2002_06_05","tisza",2002,6,5,182
"2002_07_05","tisza",2002,7,5,116
"2002_08_05","tisza",2002,8,5,112
"2002_09_05","tisza",2002,9,5,94
"2002_10_05","tisza",2002,10,5,189
"2002_11_05","tisza",2002,11,5,342
"2002_12_05","tisza",2002,12,5,167
"2002_01_06","tisza",2002,1,6,286
"2002_02_06","tisza",2002,2,6,508
"2002_03_06","tisza",2002,3,6,494
"2002_04_06","tisza",2002,4,6,215
"2002_05_06","tisza",2002,5,6,212
"2002_06_06","tisza",2002,6,6,172
"2002_07_06","tisza",2002,7,6,109
"2002_08_06","tisza",2002,8,6,112
"2002_09_06","tisza",2002,9,6,97
"2002_10_06","tisza",2002,10,6,172
"2002_11_06","tisza",2002,11,6,350
"2002_12_06","tisza",2002,12,6,182
"2002_01_07","tisza",2002,1,7,277
"2002_02_07","tisza",2002,2,7,505
"2002_03_07","tisza",2002,3,7,503
"2002_04_07","tisza",2002,4,7,208
"2002_05_07","tisza",2002,5,7,203
"2002_06_07","tisza",2002,6,7,169
"2002_07_07","tisza",2002,7,7,104
"2002_08_07","tisza",2002,8,7,110
"2002_09_07","tisza",2002,9,7,94
"2002_10_07","tisza",2002,10,7,156
"2002_11_07","tisza",2002,11,7,362
"2002_12_07","tisza",2002,12,7,189
"2002_01_08","tisza",2002,1,8,259
"2002_02_08","tisza",2002,2,8,498
"2002_03_08","tisza",2002,3,8,507
"2002_04_08","tisza",2002,4,8,206
"2002_05_08","tisza",2002,5,8,201
"2002_06_08","tisza",2002,6,8,162
"2002_07_08","tisza",2002,7,8,102
"2002_08_08","tisza",2002,8,8,113
"2002_09_08","tisza",2002,9,8,90
"2002_10_08","tisza",2002,10,8,145
"2002_11_08","tisza",2002,11,8,378
"2002_12_08","tisza",2002,12,8,189
"2002_01_09","tisza",2002,1,9,237
"2002_02_09","tisza",2002,2,9,488
"2002_03_09","tisza",2002,3,9,508
"2002_04_09","tisza",2002,4,9,199
"2002_05_09","tisza",2002,5,9,201
"2002_06_09","tisza",2002,6,9,159
"2002_07_09","tisza",2002,7,9,98
"2002_08_09","tisza",2002,8,9,120
"2002_09_09","tisza",2002,9,9,91
"2002_10_09","tisza",2002,10,9,136
"2002_11_09","tisza",2002,11,9,378
"2002_12_09","tisza",2002,12,9,186
"2002_01_10","tisza",2002,1,10,217
"2002_02_10","tisza",2002,2,10,474
"2002_03_10","tisza",2002,3,10,508
"2002_04_10","tisza",2002,4,10,198
"2002_05_10","tisza",2002,5,10,197
"2002_06_10","tisza",2002,6,10,155
"2002_07_10","tisza",2002,7,10,100
"2002_08_10","tisza",2002,8,10,129
