"date_id","river","year","month","day","value"
"2014_05_13","tisza",2014,5,13,131
"2014_05_14","tisza",2014,5,14,132
"2014_05_15","tisza",2014,5,15,155
"2014_05_16","tisza",2014,5,16,190
"2014_05_17","tisza",2014,5,17,182
"2014_05_18","tisza",2014,5,18,172
"2014_05_19","tisza",2014,5,19,190
"2014_05_20","tisza",2014,5,20,217
"2014_05_21","tisza",2014,5,21,239
"2014_05_22","tisza",2014,5,22,258
"2014_05_23","tisza",2014,5,23,275
"2014_05_24","tisza",2014,5,24,280
"2014_05_25","tisza",2014,5,25,269
"2014_05_26","tisza",2014,5,26,241
"2014_05_27","tisza",2014,5,27,214
"2014_05_28","tisza",2014,5,28,189
"2014_05_29","tisza",2014,5,29,177
"2014_05_30","tisza",2014,5,30,174
"2014_05_31","tisza",2014,5,31,184
"2014_06_01","tisza",2014,6,1,186
"2014_06_02","tisza",2014,6,2,177
"2014_06_03","tisza",2014,6,3,171
"2014_06_04","tisza",2014,6,4,168
"2014_06_05","tisza",2014,6,5,165
"2014_06_06","tisza",2014,6,6,158
"2014_06_07","tisza",2014,6,7,154
"2014_06_08","tisza",2014,6,8,148
"2014_06_09","tisza",2014,6,9,136
"2014_06_10","tisza",2014,6,10,128
"2014_06_11","tisza",2014,6,11,125
"2014_06_12","tisza",2014,6,12,120
"2014_06_13","tisza",2014,6,13,114
"2014_06_14","tisza",2014,6,14,111
"2014_06_15","tisza",2014,6,15,108
"2014_06_16","tisza",2014,6,16,104
"2014_06_17","tisza",2014,6,17,105
"2014_06_18","tisza",2014,6,18,104
"2014_06_19","tisza",2014,6,19,98
"2014_06_20","tisza",2014,6,20,97
"2014_06_21","tisza",2014,6,21,95
"2014_06_22","tisza",2014,6,22,94
"2014_06_23","tisza",2014,6,23,93
"2014_06_24","tisza",2014,6,24,96
"2014_06_25","tisza",2014,6,25,96
"2014_06_26","tisza",2014,6,26,100
"2014_06_27","tisza",2014,6,27,100
"2014_06_28","tisza",2014,6,28,105
"2014_06_29","tisza",2014,6,29,110
"2014_06_30","tisza",2014,6,30,108
"2014_07_01","tisza",2014,7,1,107
"2014_07_02","tisza",2014,7,2,109
"2014_07_03","tisza",2014,7,3,109
"2014_07_04","tisza",2014,7,4,113
"2014_07_05","tisza",2014,7,5,110
"2014_07_06","tisza",2014,7,6,113
"2014_07_07","tisza",2014,7,7,117
"2014_07_08","tisza",2014,7,8,116
"2014_07_09","tisza",2014,7,9,116
"2014_07_10","tisza",2014,7,10,117
"2014_07_11","tisza",2014,7,11,116
"2014_07_12","tisza",2014,7,12,125
"2014_07_13","tisza",2014,7,13,136
"2014_07_14","tisza",2014,7,14,146
"2014_07_15","tisza",2014,7,15,160
"2014_07_16","tisza",2014,7,16,177
"2014_07_17","tisza",2014,7,17,183
"2014_07_18","tisza",2014,7,18,175
"2014_07_19","tisza",2014,7,19,163
"2014_07_20","tisza",2014,7,20,150
"2014_07_21","tisza",2014,7,21,143
"2014_07_22","tisza",2014,7,22,136
"2014_07_23","tisza",2014,7,23,124
"2014_07_24","tisza",2014,7,24,123
"2014_07_25","tisza",2014,7,25,132
"2014_07_26","tisza",2014,7,26,137
"2014_07_27","tisza",2014,7,27,149
"2014_07_28","tisza",2014,7,28,157
"2014_07_29","tisza",2014,7,29,159
"2014_07_30","tisza",2014,7,30,155
"2014_07_31","tisza",2014,7,31,153
"2014_08_01","tisza",2014,8,1,158
"2014_08_02","tisza",2014,8,2,156
"2014_08_03","tisza",2014,8,3,158
"2014_08_04","tisza",2014,8,4,154
"2014_08_05","tisza",2014,8,5,141
"2014_08_06","tisza",2014,8,6,138
"2014_08_07","tisza",2014,8,7,130
"2014_08_08","tisza",2014,8,8,127
"2014_08_09","tisza",2014,8,9,124
"2014_08_10","tisza",2014,8,10,126
"2014_08_11","tisza",2014,8,11,125
"2014_08_12","tisza",2014,8,12,120
"2014_08_13","tisza",2014,8,13,121
"2014_08_14","tisza",2014,8,14,127
"2014_08_15","tisza",2014,8,15,128
"2014_08_16","tisza",2014,8,16,123
"2014_08_17","tisza",2014,8,17,132
"2014_08_18","tisza",2014,8,18,133
"2014_08_19","tisza",2014,8,19,134
"2014_08_20","tisza",2014,8,20,133
"2014_08_21","tisza",2014,8,21,130
"2014_08_22","tisza",2014,8,22,122
"2014_08_23","tisza",2014,8,23,118
"2014_08_24","tisza",2014,8,24,118
"2014_08_25","tisza",2014,8,25,117
"2014_08_26","tisza",2014,8,26,118
"2014_08_27","tisza",2014,8,27,124
"2014_08_28","tisza",2014,8,28,124
"2014_08_29","tisza",2014,8,29,132
"2014_08_30","tisza",2014,8,30,145
"2014_08_31","tisza",2014,8,31,144
"2014_09_01","tisza",2014,9,1,151
"2014_09_02","tisza",2014,9,2,158
"2014_09_03","tisza",2014,9,3,157
"2014_09_04","tisza",2014,9,4,148
"2014_09_05","tisza",2014,9,5,138
"2014_09_06","tisza",2014,9,6,126
"2014_09_07","tisza",2014,9,7,114
"2014_09_08","tisza",2014,9,8,105
"2014_09_09","tisza",2014,9,9,104
"2014_09_10","tisza",2014,9,10,105
"2014_09_11","tisza",2014,9,11,104
"2014_09_12","tisza",2014,9,12,107
"2014_09_13","tisza",2014,9,13,108
"2014_09_14","tisza",2014,9,14,107
"2014_09_15","tisza",2014,9,15,114
"2014_09_16","tisza",2014,9,16,127
"2014_09_17","tisza",2014,9,17,128
"2014_09_18","tisza",2014,9,18,127
"2014_09_19","tisza",2014,9,19,126
"2014_09_20","tisza",2014,9,20,123
"2014_09_21","tisza",2014,9,21,121
"2014_09_22","tisza",2014,9,22,112
"2014_09_23","tisza",2014,9,23,108
